"","Age","Vol","Stage","Nodes","Histology","Treatment"
"lower.clinical",0.0314796803502804,0.0186548660759425,0.00655798326919235,0.0423912541300753,0.0405522093836727,0.0417437494379156
"medians.clinical",0.0450928608398404,0.0259546499111446,0.0109389984945173,0.0548673579147948,0.0509975118021807,0.0548538351978651
"upper.clinical",0.0564809172611562,0.0405570076294941,0.0138176242790195,0.065110066881842,0.0709496819448172,0.0726983181496924
